word,group,confidence,method,source_count
flight,21,0.75,cluster_phonetic,11
flight,21,0.75,cluster_phonetic,11
flight,21,0.75,cluster_phonetic,4
fright,21,0.75,cluster_phonetic,6
fright,21,0.75,cluster_phonetic,6
fright,21,0.75,cluster_phonetic,6
fright,21,0.75,cluster_phonetic,6
fright,21,0.75,cluster_phonetic,4
height,21,0.75,cluster_phonetic,13
height,21,0.75,cluster_phonetic,13
height,21,0.75,cluster_phonetic,13
height,21,0.75,cluster_phonetic,13
height,21,0.75,cluster_phonetic,4
knight,21,0.75,cluster_phonetic,4
light,21,0.75,cluster_phonetic,69
light,21,0.75,cluster_phonetic,69
light,21,0.75,cluster_phonetic,69
light,21,0.75,cluster_phonetic,69
light,21,0.75,cluster_phonetic,4
might,21,0.75,cluster_phonetic,30
might,21,0.75,cluster_phonetic,30
might,21,0.75,cluster_phonetic,30
might,21,0.75,cluster_phonetic,30
might,21,0.75,cluster_phonetic,30
night,21,0.75,cluster_phonetic,201
night,21,0.75,cluster_phonetic,201
night,21,0.75,cluster_phonetic,201
night,21,0.75,cluster_phonetic,201
night,21,0.75,cluster_phonetic,4
overnight,21,0.75,cluster_phonetic,4
overnight,21,0.75,cluster_phonetic,4
overnight,21,0.75,cluster_phonetic,4
overnight,21,0.75,cluster_phonetic,4
overnight,21,0.75,cluster_phonetic,4
plight,21,0.75,cluster_phonetic,4
right,21,0.75,cluster_phonetic,297
right,21,0.75,cluster_phonetic,297
right,21,0.75,cluster_phonetic,297
right,21,0.75,cluster_phonetic,297
right,21,0.75,cluster_phonetic,4
sight,21,0.75,cluster_phonetic,54
sight,21,0.75,cluster_phonetic,54
sight,21,0.75,cluster_phonetic,54
sight,21,0.75,cluster_phonetic,54
sight,21,0.75,cluster_phonetic,4
sleight,21,0.75,cluster_phonetic,4
slight,21,0.75,cluster_phonetic,4
tight,21,0.75,cluster_phonetic,28
tight,21,0.75,cluster_phonetic,28
tight,21,0.75,cluster_phonetic,28
tight,21,0.75,cluster_phonetic,28
tight,21,0.75,cluster_phonetic,4
tonight,21,0.75,cluster_phonetic,131
tonight,21,0.75,cluster_phonetic,131
tonight,21,0.75,cluster_phonetic,131
tonight,21,0.75,cluster_phonetic,131
tonight,21,0.75,cluster_phonetic,131
upright,21,0.75,cluster_phonetic,4
wight,21,0.75,cluster_phonetic,4
do,22,0.75,cluster_phonetic,284
do,22,0.75,cluster_phonetic,284
do,22,0.75,cluster_phonetic,284
do,22,0.75,cluster_phonetic,284
honey,23,0.75,cluster_phonetic,7
honey,23,0.75,cluster_phonetic,7
honey,23,0.75,cluster_phonetic,7
honey,23,0.75,cluster_phonetic,7
honey,23,0.75,cluster_phonetic,4
money,23,0.75,cluster_phonetic,281
money,23,0.75,cluster_phonetic,281
money,23,0.75,cluster_phonetic,281
money,23,0.75,cluster_phonetic,281
money,23,0.75,cluster_phonetic,281
no,24,0.75,cluster_phonetic,263
no,24,0.75,cluster_phonetic,263
no,24,0.75,cluster_phonetic,263
no,24,0.75,cluster_phonetic,263
x,25,0.75,cluster_phonetic,254
x,25,0.75,cluster_phonetic,254
x,25,0.75,cluster_phonetic,254
x,25,0.75,cluster_phonetic,254
adhere,26,0.75,cluster_phonetic,4
cohere,26,0.75,cluster_phonetic,4
here,26,0.75,cluster_phonetic,249
here,26,0.75,cluster_phonetic,249
here,26,0.75,cluster_phonetic,249
here,26,0.75,cluster_phonetic,249
here,26,0.75,cluster_phonetic,4
sphere,26,0.75,cluster_phonetic,4
ooh,27,0.75,cluster_phonetic,245
ooh,27,0.75,cluster_phonetic,245
ooh,27,0.75,cluster_phonetic,245
ooh,27,0.75,cluster_phonetic,245
ooh,27,0.75,cluster_phonetic,245
aye,28,0.75,cluster_phonetic,244
aye,28,0.75,cluster_phonetic,244
aye,28,0.75,cluster_phonetic,244
aye,28,0.75,cluster_phonetic,244
aye,28,0.75,cluster_phonetic,244
girl,29,0.75,cluster_phonetic,239
girl,29,0.75,cluster_phonetic,239
girl,29,0.75,cluster_phonetic,239
girl,29,0.75,cluster_phonetic,239
girl,29,0.75,cluster_phonetic,4
day,30,0.75,cluster_phonetic,232
day,30,0.75,cluster_phonetic,232
day,30,0.75,cluster_phonetic,232
day,30,0.75,cluster_phonetic,232
day,30,0.75,cluster_phonetic,4
to,31,0.75,cluster_phonetic,231
to,31,0.75,cluster_phonetic,231
to,31,0.75,cluster_phonetic,231
to,31,0.75,cluster_phonetic,231
boy,32,0.75,cluster_phonetic,221
boy,32,0.75,cluster_phonetic,221
boy,32,0.75,cluster_phonetic,221
boy,32,0.75,cluster_phonetic,221
boy,32,0.75,cluster_phonetic,221
away,33,0.75,cluster_phonetic,216
away,33,0.75,cluster_phonetic,216
away,33,0.75,cluster_phonetic,216
away,33,0.75,cluster_phonetic,216
away,33,0.75,cluster_phonetic,4
ay,34,0.75,cluster_phonetic,207
ay,34,0.75,cluster_phonetic,207
ay,34,0.75,cluster_phonetic,207
ay,34,0.75,cluster_phonetic,4
on,35,0.75,cluster_phonetic,205
on,35,0.75,cluster_phonetic,205
on,35,0.75,cluster_phonetic,205
on,35,0.75,cluster_phonetic,4
like,36,0.75,cluster_phonetic,200
like,36,0.75,cluster_phonetic,200
like,36,0.75,cluster_phonetic,200
like,36,0.75,cluster_phonetic,200
like,36,0.75,cluster_phonetic,200
crazy,37,0.75,cluster_phonetic,200
crazy,37,0.75,cluster_phonetic,200
crazy,37,0.75,cluster_phonetic,200
crazy,37,0.75,cluster_phonetic,200
crazy,37,0.75,cluster_phonetic,4
us,38,0.75,cluster_phonetic,190
us,38,0.75,cluster_phonetic,190
us,38,0.75,cluster_phonetic,190
us,38,0.75,cluster_phonetic,4
deface,39,0.75,cluster_phonetic,4
deface,39,0.75,cluster_phonetic,4
efface,39,0.75,cluster_phonetic,4
face,39,0.75,cluster_phonetic,189
face,39,0.75,cluster_phonetic,189
face,39,0.75,cluster_phonetic,189
face,39,0.75,cluster_phonetic,189
face,39,0.75,cluster_phonetic,4
yuh,40,0.75,cluster_phonetic,183
yuh,40,0.75,cluster_phonetic,183
yuh,40,0.75,cluster_phonetic,183
yuh,40,0.75,cluster_phonetic,183
yuh,40,0.75,cluster_phonetic,183
be,41,0.75,cluster_phonetic,180
be,41,0.75,cluster_phonetic,180
be,41,0.75,cluster_phonetic,180
be,41,0.75,cluster_phonetic,180
real,42,0.75,cluster_phonetic,178
real,42,0.75,cluster_phonetic,176
real,42,0.75,cluster_phonetic,176
real,42,0.75,cluster_phonetic,176
real,42,0.75,cluster_phonetic,176
surreal,42,0.75,cluster_phonetic,12
surreal,42,0.75,cluster_phonetic,12
surreal,42,0.75,cluster_phonetic,12
surreal,42,0.75,cluster_phonetic,12
surreal,42,0.75,cluster_phonetic,12
hai,43,0.75,cluster_phonetic,175
hai,43,0.75,cluster_phonetic,175
hai,43,0.75,cluster_phonetic,175
hai,43,0.75,cluster_phonetic,175
hai,43,0.75,cluster_phonetic,175
mind,44,0.75,cluster_phonetic,174
mind,44,0.75,cluster_phonetic,174
mind,44,0.75,cluster_phonetic,174
mind,44,0.75,cluster_phonetic,174
mind,44,0.75,cluster_phonetic,4
remind,44,0.75,cluster_phonetic,4
man,45,0.75,cluster_phonetic,173
man,45,0.75,cluster_phonetic,173
man,45,0.75,cluster_phonetic,173
man,45,0.75,cluster_phonetic,173
man,45,0.75,cluster_phonetic,4
say,46,0.75,cluster_phonetic,172
say,46,0.75,cluster_phonetic,172
say,46,0.75,cluster_phonetic,172
say,46,0.75,cluster_phonetic,172
say,46,0.75,cluster_phonetic,4
huh,47,0.75,cluster_phonetic,171
huh,47,0.75,cluster_phonetic,171
huh,47,0.75,cluster_phonetic,171
huh,47,0.75,cluster_phonetic,171
huh,47,0.75,cluster_phonetic,171
die,48,0.75,cluster_phonetic,171
die,48,0.75,cluster_phonetic,171
die,48,0.75,cluster_phonetic,171
die,48,0.75,cluster_phonetic,171
die,48,0.75,cluster_phonetic,4
